No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl,f_GCTP,GCTP,comp,RA1900,DE1900,Vmag,B-V,MK,name,pm,pmPA,pi,e_pi,q_pi,_RA.icrs,_DE.icrs
847,T Vulp,20,47.2,27,53,20h51m14.6585s,+28d15m28.6279s,27,3890.0,Var,F8p,0.019,0.011,0.009,0.0,4; 18,11.5,30,,4990.00,,20 47 13.4,+27 52 31,5.77,0.72,F5   Ibv,,0.006,332,0.0072,6.1,G,20 51 28.2,+28 15 01
848,Mu Aqar,20,47.3,-9,22,20h52m23.3273s,-08d59m27.6755s,-9,5598.0,4.8,A3,0.054,0.04,0.027,0.011,5; 21,10.1,29,*,4992.00,,20 47 15.6,-09 21 30,4.73,0.32,A3m,MU Aqr,0.050,125,0.0156,6.5,G,20 52 39.2,-08 58 59
849,Beta Ceph,21,27.4,70,7,21h28m16.6802s,+70d33m17.7581s,69,1173.0,3.3,B1,0.013,0.013,0.012,0.003,6; 24,10.3,33,*,5192.00,A,21 27 22.2,+70 07 18,3.23,-0.22,B1   IV,BET Cep,0.015,37,0.0124,6.5,G,21 28 39.6,+70 33 39
,,,,,,,,,,,,,,,,,,,*,5192.00,B,21 27 24.0,+70 07 00,7.84,0.18,A2.5 V,,,,,,,21 28 41.3,+70 33 19
850,Xi Aqar,21,32.4,-8,19,21h37m18.6457s,-07d52m05.1842s,-8,5701.0,4.8,A5,0.117,0.114,0.099,-0.005,5; 20,10.2,28,*,5208.00,,21 32 25.7,-08 18 09,4.69,0.17,A7   V,XI Aqr,0.115,101,0.0105,7.2,F,21 37 45.1,-07 51 14
851,9 Pegs,21,39.8,16,53,21h43m43.9893s,+17d20m28.8994s,16,4582.0,4.5,G5,0.033,0.021,0.003,-0.001,5; 20,10.3,28,,5248.00,,21 39 46.4,+16 53 28,4.34,1.17,G5   Ib,9 Peg,0.014,135,0.0053,7.3,G,21 44 30.6,+17 20 59
852,Lamda Ceph,22,8.1,58,55,22h11m23.7613s,+59d24m36.8883s,58,2402.0,5.2,Od,0.027,0.026,-0.009,0.001,4; 17,10.5,29,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
853,Epsilon 2923,22,30.5,69,51,22h32m48.1409s,+70d21m56.6795s,69,1263.0,6.3,A0,0.064,0.06,0.041,-0.011,7; 27,10.3,27,,5463.00,A,22 30 27.2,+69 51 26,6.34,0.00,A0   V,SIG 2923,0.054,61,-0.0017,9.2,G,22 33 17.0,+70 22 26
854,Theta Pisc,23,22.9,5,50,23h27m05.1834s,+06d23m00.6413s,5,5173.0,4.4,G5,0.136,-0.128,-0.144,0.015,5; 18,12.8,29,,5682.00,,23 22 53.6,+05 49 46,4.28,1.07,K1   III,THE Psc,0.129,252,0.0147,6.8,G,23 27 58.1,+06 22 43
855,15 Andr,23,29.7,39,41,23h33m53.4729s,+40d14m09.0442s,39,5114.0,5.5,A0,0.043,0.01,-0.03,0.008,5; 19,10.5,28,,5702.00,,23 29 43.8,+39 41 06,5.59,0.10,A1   Vp,15 And,0.046,204,0.0122,8.4,,23 34 37.5,+40 14 11
856,Lal 47226,0,0.2,8,14,00h05m07.6109s,+08d47m24.4539s,7,5128.0,8.2,K0,0.272,0.265,0.261,-0.006,5; 21,11.7,31,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
857,Grb 410,1,52.9,75,1,02h01m14.8639s,+75d30m10.6563s,74,91.0,6.6,A0,0.027,0.023,0.017,0.004,5; 23,12,30,,409.00,,01 52 52.2,+75 01 02,6.60,,A0,,0.022,105,0.0065,8.4,,02 02 09.3,+75 30 08
858,Comp Gamma Ceti,2,37.3,2,57,02h42m12.1251s,+03d22m37.8287s,2,418.0,10.2,Mb,0.22,,-0.154,0.039,5; 24,10.8,30,,548.00,,02 37 18.0,+02 57 00,10.16,1.36,K5   d,ADS 2080C,0.215,220,0.0415,4.9,G,02 42 29.2,+03 22 20
859,Gamma Ceti,2,38.1,2,49,02h43m11.9475s,+03d14m32.2119s,2,422.0,3.6,A2,0.209,-0.144,-0.156,0.045,5; 23,10.8,30,,554.00,A,02 38 07.0,+02 48 52,3.47,0.09,A3   V,GAM Cet,0.207,224,0.0474,4.9,G,02 43 18.0,+03 14 09
,,,,,,,,,,,,,,,,,,,,554.00,B,02 38 06.0,+02 49 00,6.30,,F3   d,,,,,,,02 43 18.0,+03 14 31
860,63 Arie,3,17.0,20,23,03h22m45.7739s,+20d44m29.3035s,20,551.0,5.2,K0,0.048,-0.044,-0.047,0.004,5;21,11,27,,706.00,,03 16 59.7,+20 23 03,5.09,1.24,K3   III,TAU2 Ari,0.050,249,0.0076,8.4,,03 22 45.1,+20 44 30
861,88 Taur,4,30.2,9,57,04h35m29.3835s,+10d09m24.8691s,9,607.0,4.4,A3,0.069,0.047,0.016,0.027,7; 32,10.5,28,,1015.00,,04 30 09.5,+09 57 19,4.25,0.18,A5m,88 Tau,0.044,138,0.0341,7.5,G,04 35 39.1,+10 09 39
862,90 Taur,4,32.6,12,19,04h37m34.8027s,+12d31m08.2323s,12,618.0,4.3,A3,0.108,0.107,0.077,0.015,5; 22,10.9,27,*,1022.00,,04 32 33.9,+12 18 36,4.27,0.12,A6   V,90 Tau,0.103,96,0.0215,7.3,G,04 38 09.4,+12 30 38
863,29 Orio,5,19.1,-7,54,05h23m49.2145s,-07d48m24.0803s,-7,1064.0,4.2,K0,0.041,-0.015,-0.024,0.003,7; 32,11.2,28,,1226.00,,05 19 07.7,-07 53 59,4.14,0.96,G8   IIIF*,29 Ori,0.048,206,0.0089,7.8,G,05 23 56.8,-07 48 28
864,1 Lync,6,8.7,61,33,06h17m13.5064s,+61d31m09.7112s,61,869.0,5.3,Ma,0.005,0.004,-0.012,0.002,5; 21,11,29,,1443.00,,06 08 41.5,+61 32 51,4.98,1.83,M3   IIIab,1 Lyn,0.013,245,0.0051,8.4,,06 17 54.7,+61 30 54
865,66 Auri,7,17.2,40,52,07h23m55.5937s,+40d40m30.5564s,40,1852.0,5.3,K0,0.023,0.002,0.001,0.002,3; 14,10.9,26,,1733.00,,07 17 12.9,+40 51 53,5.19,1.23,K1+  IIIa*,66 Aur,0.026,193,0.0052,6.0,,07 24 08.4,+40 40 19
866,Eta C Min,7,22.7,7,9,07h27m22.7974s,+06d56m55.9666s,7,1729.0,5.3,A5,0.044,0 . 000,-0.001,0.008,4; 16,10.7,26,,1763.00,,07 22 39.3,+07 08 45,5.25,0.22,F0   III,ETA CMi,0.048,174,0.0105,6.3,G,07 28 02.1,+06 56 31
867,Lal 16904,8,33.1,56,2,08h40m40.0852s,+55d40m52.7738s,56,1322.0,8.1,G0,0.47,-0.284,-0.263,0.005,7; 27,11.8,26,*,2057.00,,08 33 05.3,+56 01 47,8.04,0.68,G3   V,Lal 16904,0.448,216,0.0119,8.1,G,08 40 42.1,+55 40 04
868,Lal 17081,8,36.2,34,33,08h42m17.6277s,+34d11m37.1791s,34,1885.0,7.4,F8,0.277,0.023,0.036,0.022,3; 15,11.7,29,*,2073.00,,08 36 13.0,+34 33 07,7.40,,F7   d,,0.282,174,0.0250,6.0,,08 42 30.8,+34 11 15
869,75 Canc,9,2.9,27,3,09h07m54.1774s,+26d38m52.2348s,27,1715.0,6,G5,0.402,-0.114,-0.129,0.039,5; 21,12.5,29,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
870,Beta U Maj,10,55.8,56,55,11h01m01.6355s,+56d22m48.2835s,57,1302.0,2.4,A0,0.089,0.084,0.099,0.043,6; 24,9.9,30,,2567.00,,10 55 48.5,+56 55 06,2.37,-0.02,A1   V,BET UMa,0.086,70,0.0466,8.2,F,11 01 50.4,+56 22 56
871,Gamma U Maj,11,48.6,54,15,11h53m14.9s,+53d41m37.0966s,54,1475.0,2.5,A0,0.095,0.095,0.11,0.023,7; 26,10.8,23,,2749.00,,11 48 34.3,+54 15 02,2.44,0.00,A0   Ve,GAM UMa,0.094,86,0.0222,8.9,F,11 53 49.8,+53 41 40
872,12 Coma,12,17.5,26,24,12h22m01.8127s,+25d50m42.685s,26,2337.0,4.8,F5,0.013,-0.005,0.026,0.006,"5 , 20",10.8,29,,2850.00,,12 17 28.7,+26 24 03,4.81,0.49,G0+A3III-*,12 Com,0.018,221,0.0119,8.4,,12 22 30.3,+25 50 45
873,Alpha 2  C Ven,12,51.4,38,51,12h55m42.7909s,+38d18m29.5045s,39,2580.0,2.9,A0p,0.233,-0.229,-0.243,0.022,6; 25,10.5,39,,2969.00,A,12 51 21.0,+38 51 30,2.90,-0.12,A0pSiEuHg,ALP2 CVn,0.242,282,0.0263,7.3,F,12 56 01.6,+38 19 06
,,,,,,,,,,,,,,,,,,,,2969.00,B,12 51 19.7,+38 51 16,5.60,0.34,F0   V,ALP1 CVn,0.245,284,,,,12 56 00.4,+38 18 53
874,41 Coma,13,2.4,28,10,13h06m47.7651s,+27d37m54.0414s,28,2185.0,4.9,K5,0.088,0.028,0.074,-0.003,7; 26,10.9,30,,2995.00,,13 02 22.8,+28 09 40,4.80,1.48,K5-  III,41 Com,0.080,158,0.0086,8.9,G,13 07 10.7,+27 37 28
875,Zeta Virg,13,29.6,0,5,13h34m07.5441s,-00d25m46.7095s,0,3076.0,3.4,A2,0.285,-0.283,-0.302,0.035,5; 19,11,28,,3100.00,,13 29 35.7,-00 05 04,3.37,0.11,A3   V,ZET Vir,0.290,278,0.0392,6.4,G,13 34 41.5,-00 35 44
876,109 Virg,14,41.2,2,19,14h46m04.1701s,+01d53m44.4672s,2,2862.0,3.8,A0,0.117,-0.111,-0.078,0.03,7; 26,10.1,30,,3340.00,,14 41 11.5,+02 18 51,3.72,-0.01,A0   V,109 Vir,0.120,256,0.0344,7.9,G,14 46 14.9,+01 53 34
877,Epsilon Libr,15,18.8,-9,58,15h23m25.7535s,-10d19m23.714s,-9,4138.0,5.1,F0,0.176,-0.077,-0.085,0.025,5; 20,10.2,30,,3478.00,,15 18 46.5,-09 57 46,4.94,0.44,F5   IV,EPS Lib,0.173,204,0.0338,7.3,G,15 24 11.9,-10 19 20
878,Zeta 1 Cor B,15,35.6,36,58,15h38m46.2666s,+36d38m28.0194s,37,2665.0,6,B8,,,-0.012,0.029,7; 28,12.7,30,,3542.00,A,15 35 36.6,+36 57 37,5.07,-0.12,B7   V,ZET2 CrB,0.018,240,0.0165,6.0,G,15 39 22.7,+36 38 09
,,,,,,,,,,,,,,,,,,,,3542.00,B,15 35 36.1,+36 57 40,6.00,,B9   V,ZET1 CrB,0.023,227,,,,15 39 22.1,+36 38 11
879,Zeta 2 Cor B,15,35.6,36,58,15h38m46.2666s,+36d38m28.0194s,,,5.1,B8,0.01,-0.007,-0.016,-0.001,6; 21,12.7,30,,3542.00,A,15 35 36.6,+36 57 37,5.07,-0.12,B7   V,ZET2 CrB,0.018,240,0.0165,6.0,G,15 39 22.7,+36 38 09
,,,,,,,,,,,,,,,,,,,,3542.00,B,15 35 36.1,+36 57 40,6.00,,B9   V,ZET1 CrB,0.023,227,,,,15 39 22.1,+36 38 11
,Mean,,,,,0,0,,,,,,,,0.013,5,,,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
880,Eta U Min,16,20.4,75,59,16h17m07.8559s,+75d44m41.3567s,76,596.0,5,F0,0.264,-0.061,-0.047,0.034,5; 20,10.3,28,,3731.00,A,16 20 25.2,+75 59 08,4.95,0.37,F5   V,ETA UMi,0.267,342,0.0408,7.3,G,16 17 30.2,+75 45 18
881,Omega Herc,16,20.8,14,16,16h24m36.7063s,+14d02m11.1637s,14,3049.0,4.5,A0p,0.08,0.048,0.031,0.03,5; 22,9.9,27,,3732.00,,16 20 47.9,+14 15 48,4.57,0.00,B9pCr,OME Her,0.075,146,0.0375,8.4,,16 25 24.9,+14 02 00
882,69 Herc,17,14.2,37,24,17h17m27.3055s,+37d17m35.1852s,37,2864.0,4.8,A2,0.064,-0.036,-0.049,0.009,5; 21,11.2,28,,3932.00,,17 14 13.2,+37 23 46,4.65,0.05,A2   V,69 Her,0.058,332,0.0148,8.4,,17 17 40.3,+37 17 28
883,Nu Ophi,17,53.5,-9,46,17h58m30.399s,-09d46m37.1204s,-9,4632.0,3.5,K0,0.118,-0.009,0.006,0.016,5;21,11.2,29,,4103.00,,17 53 31.2,-09 45 40,3.34,0.99,K0   IIIa*,NU Oph,0.118,185,0.0184,6.7,G,17 59 01.6,-09 46 24
884,59 Serp,18,22.1,0,8,18h27m07.0087s,+00d11m34.4158s,0,3936.0,5.3,A0,0.011,-0.009,-0.005,0.011,5; 21,10.9,30,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
885,Grb 2719,18,48.3,73,58,18h45m30.2789s,+74d04m46.1755s,73,835.0,5.4,G5,0.082,0.013,0.005,0.015,6; 24,10.4,30,,4363.00,,18 48 16.2,+73 58 10,5.27,0.92,K0   II-I*,,0.095,3,0.0188,9.8,,18 45 46.7,+74 05 08
886,Lal 35584,18,57.2,26,9,19h01m03.7389s,+26d17m30.6597s,26,3429.0,5.5,B3,0.008,0,-0.002,0.004,5; 20,10.6,28,,4418.00,,18 57 13.5,+26 08 57,5.69,-0.08,B5   V,,0.010,190,0.0076,8.4,,19 01 17.3,+26 17 28
887,Lambda Aqil,19,0.9,-5,2,19h05m18.5501s,-04d52m58.7594s,-5,4876.0,3.6,B9,0.094,-0.022,0.013,0.021,5;22,11,37,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
888,Tau Drac,19,17.5,73,10,19h15m07.3703s,+73d20m53.2366s,73,857.0,4.6,K0,0.173,-0.134,-0.14,0.011,5; 22,11.4,32,,4533.00,,19 17 28.6,+73 10 11,4.45,1.25,K2+  IIIb*,TAU Dra,0.181,309,0.0121,6.4,G,19 15 33.0,+73 21 19
889,Lal 37508,19,37.8,45,17,19h40m04.2045s,+45d30m55.5755s,45,2949.0,5,F2,0.144,0.1,0.085,0.015,3; 14,10.6,29,*,4627.00,,19 37 44.9,+45 17 15,5.06,0.40,F5   II-I*,,0.152,33,0.0189,6.0,,19 40 50.1,+45 31 29
890,Brad 2541,19,50.3,24,3,19h54m14.4196s,+24d18m42.0478s,23,3829.0,5.5,A0,0.028,0.026,0.003,0.008,4; 15,10,27,,4704.00,,19 50 16.4,+24 03 25,5.52,-0.02,A0   III,,0.023,70,0.0119,7.2,,19 54 31.1,+24 19 10
891,A G Camb,,,,,0,0,,,,,,,,,,,,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
,10646,19,53.2,29,33,19h57m00.6017s,+29d49m04.2466s,29,3820.0,8.2,G5,0.26,0.078,0.083,0.05,5; 18,10,29,,4722.00,,19 53 12.0,+29 32 56,7.90,0.80,K0   V,G 125-048,0.262,20,0.0464,7.3,F,19 57 13.4,+29 49 26
892,Lal 38430,20,0.7,25,47,20h04m11.4268s,+26d03m58.1455s,25,4090.0,7.8,G5,0.4,0,0.052,0.026,6; 21,11.1,29,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
893,25 Vulp,20,17.8,24,8,20h21m17.849s,+24d27m03.6985s,23,3986.0,5.4,B8,0.016,-0.008,-0.009,-0.013,4; 16,11.1,27,,4854.00,,20 17 45.4,+24 07 37,5.54,-0.06,B8   IIIne,25 Vul,0.006,62,-0.0097,7.2,,20 22 03.5,+24 26 46
894,Mayer 868,20,26.9,-10,12,20h31m26.2224s,-09d51m48.5769s,-10,5423.0,5.8,G5,0.319,0.306,0.311,0.019,7; 24,11.2,31,,4880.00,A,20 26 55.4,-10 11 40,5.65,0.69,G2.5 IV,,0.322,71,0.0329,6.1,G,20 32 23.7,-09 51 12
895,4 Ceph,20,41.9,66,18,20h42m13.5567s,+66d39m39.3639s,66,1318.0,5.6,A5,0.05,0.026,0.035,0.027,6; 21,10.7,28,,4957.00,,20 41 56.1,+66 17 37,5.58,0.22,A8   V,4 Cep,0.040,28,0.0319,8.7,G,20 43 11.0,+66 39 26
896,Grb 3432,21,16.0,49,5,21h19m26.357s,+49d30m22.7301s,48,3345.0,5.6,B5,0.018,0.017,0.02,-0.004,5; 20,10.8,30,,5138.00,,21 16 02.1,+49 05 13,5.76,-0.15,B6   V,,0.015,69,-0.0010,8.4,,21 19 28.7,+49 30 36
897,Beta Equl,21,17.9,6,23,21h21m57.4268s,+06d48m32.6806s,6,4811.0,5.1,A0,0.057,0.057,0.043,0.01,6; 22,10.7,30,*,5151.00,,21 17 55.7,+06 23 01,5.16,0.05,A3   V,BET Equ,0.055,76,0.0269,6.8,F,21 22 53.6,+06 48 40
898,75 Cygn,21,36.3,42,49,21h39m54.8916s,+43d16m11.7658s,42,4177.0,5.4,K5,0.056,0.055,0.054,0.0,6; 23,9.6,29,,5230.00,,21 36 15.5,+42 49 11,5.11,1.60,M1   IIIab,75 Cyg,0.063,72,0.0041,9.8,,21 40 11.1,+43 16 26
899,11 Pegs,21,42.2,2,13,21h47m04.2035s,+02d40m44.5004s,2,4414.0,5.5,A0,0.017,0.016,-0.009,-0.009,6; 22,10.5,31,,5264.00,,21 42 09.6,+02 13 24,5.64,0.00,A1   V,11 Peg,0.008,81,0.0051,8.0,F,21 47 13.9,+02 41 09
900,Lal 43090,22,1.4,1,22,22h06m05.5596s,+01d51m11.3315s,1,4583.0,7.5,F8,0.372,0.309,0.334,0.012,5; 17,11.8,29,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
901,Sigma Aqar,22,25.4,-11,11,22h30m17.5046s,-10d40m15.9763s,-11,5850.0,4.9,A0,0.032,0.003,-0.03,0.006,6; 20,9.9,27,,5442.00,,22 25 21.3,-11 11 23,4.82,-0.06,A0   IV s,SIG Aqr,0.027,181,0.0193,8.2,G,22 30 38.8,-10 40 41
902,31 Ceph,22,33.3,73,7,22h35m23.7055s,+73d38m05.7716s,72,1049.0,5.2,F0,0.173,0.172,0.161,-0.007,6; 21,11.1,27,,5476.00,,22 33 17.8,+73 07 26,5.08,0.39,F3   III-*,31 Cep,0.173,81,0.0089,8.5,F,22 35 46.1,+73 38 35
903,13 Lacr,22,39.6,41,18,22h43m27.4588s,+41d49m27.3486s,41,4594.0,5.2,K0,0.007,-0.006,-0.033,0.004,5; 18,10,27,,5506.00,,22 39 37.7,+41 17 39,5.08,0.96,K0   III,13 Lac,0.013,311,0.0080,8.4,,22 44 05.4,+41 49 09
904,66 Pegs,23,18.0,11,46,23h23m02.5011s,+12d18m54.9157s,11,4993.0,5.3,K0,0.034,0.027,0.013,-0.006,5; 18,10.5,27,,5659.00,,23 18 01.9,+11 45 55,5.08,1.31,K3   III,66 Peg,0.015,78,-0.0017,8.4,,23 23 04.5,+12 18 50
905,67 Pegs,23,20.0,31,50,23h24m53.7089s,+32d22m57.7346s,31,4904.0,5.5,A0,0.009,0.008,0.015,-0.003,5; 18,10.8,29,,5666.00,,23 19 56.9,+31 50 07,5.57,-0.11,B9   III,67 Peg,0.017,67,0.0015,8.4,,23 24 50.7,+32 23 05
906,Lal 158,0,9.3,-8,20,00h14m06.4337s,-07d46m37.9681s,-8,26.0,5.4,Ma,0.063,0.062,0.062,0.007,7; 26,11.1,29,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
907,Lal 1462,0,48.1,42,49,00h53m34.8655s,+43d21m35.5517s,42,195.0,7.2,G0,0.319,0.299,0.285,0.02,6; 24,11.6,27,,176.00,,00 48 03.0,+42 49 25,7.20,,G0   d,,0.304,112,0.0225,9.8,,00 53 40.5,+43 21 48
908,Eta Ceti,1,3.6,-10,43,01h08m00.4378s,-10d10m56.7459s,-10,240.0,3.6,K0,0.25,0.211,0.216,0.029,5; 21,11.4,29,*,233.00,,01 03 33.5,-10 42 44,3.45,1.16,K1.5 IIIC*,ETA Cet,0.252,122,0.0333,3.2,F,01 08 35.4,-10 10 56
909,Eta Erid,2,51.5,-9,18,02h55m52.6942s,-08d53m42.5662s,-9,553.0,4,K0,0.233,0.084,0.083,0.019,6; 27,11.4,29,,611.00,,02 51 32.4,-09 17 45,3.89,1.11,K1-  IIIb*,ETA Eri,0.230,161,0.0267,2.3,P,02 56 25.6,-08 53 53
910,94 Ceti,3,7.7,-1,34,03h12m05.0209s,-01d11m22.7842s,-1,457.0,5.1,F8,0.213,0.205,0.197,0.06,4; 19,12,27,,663.00,A,03 07 40.1,-01 34 12,5.06,0.57,F8   V,94 Cet,0.202,108,0.0423,4.0,P,03 12 46.4,-01 11 46
911,Nu Auri,5,44.2,37,17,05h50m49.0348s,+37d18m50.0565s,37,1336.0,5,Ma,0.053,0.037,0.033,-0.01,4; 19,10.7,23,,1335.00,,05 44 13.1,+37 16 36,4.74,1.62,M0+  III-*,UPS Aur,0.059,143,-0.0070,7.2,,05 51 02.4,+37 18 19
912,Mu Ori,5,56.9,9,39,06h01m30.1137s,+09d39m10.9032s,9,1064.0,4.2,A2,0.036,0.021,0.024,0.019,4; 18,10,23,,1393.00,,05 56 52.8,+09 38 50,4.12,0.16,A2   V,MU Ori,0.034,175,0.0237,3.3,G,06 02 22.9,+09 38 50
913,Phi Boot,15,34.2,40,41,15h37m35.043s,+40d21m20.2715s,40,2907.0,5.4,G5,0.082,0.066,0.029,0.015,6; 26,10.4,29,,3535.00,,15 34 14.0,+40 40 44,5.24,0.88,G7   III-*,PHI Boo,0.083,45,0.0195,9.8,,15 37 49.6,+40 21 12
914,Lal 909,0,31.3,43,56,00h36m26.4466s,+44d29m02.9186s,43,113.0,5.4,K5,0.032,-0.021,-0.037,0.0,4; 15,11.6,27,,99.00,,00 31 20.0,+43 56 12,5.13,1.60,K5-M0III,,0.051,331,0.0079,6.5,G,00 36 46.4,+44 29 18
915,89 Pisc,1,12.6,3,5,01h17m09.8859s,+03d36m39.3623s,2,185.0,5.3,A2,0.054,-0.048,-0.06,0.004,4; 19,11.3,31,,266.00,,01 12 38.3,+03 05 16,5.16,0.07,A3   V,89 Psc,0.053,248,0.0123,6.1,G,01 17 47.9,+03 36 51
916,64 Andr,2,17.8,49,33,02h23m38.2033s,+50d00m20.4573s,49,649.0,5.5,G5,0.049,0.025,0.033,-0.004,5; 23,11.5,28,,487.00,,02 17 45.9,+49 33 10,5.19,0.98,G8   III,64 And,0.035,124,-0.0017,8.4,,02 24 24.8,+50 00 24
917,36 H Cass,2,28.5,72,23,02h37m31.0868s,+72d49m15.5978s,72,140.0,5.3,K0,0.029,-0.023,-0.021,0.008,4; 19,11.6,29,,515.00,,02 28 30.8,+72 22 51,5.16,0.88,G8   III,,0.035,308,0.0111,7.2,,02 38 01.9,+72 49 05
918,Iota Pers,3,1.8,49,14,03h07m59.8881s,+49d37m09.3562s,49,857.0,4.2,G0,1.269,1.267,1.262,0.077,7; 31,11.2,32,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
919,Delta Arie,3,5.9,19,21,03h10m42.0539s,+19d43m48.0672s,19,477.0,4.5,K0,0.154,0.154,0.132,0.021,4; 21,11.5,30,,657.00,,03 05 54.5,+19 20 54,4.35,1.03,K2   III,DEL Ari,0.152,93,0.0206,2.3,G,03 11 37.8,+19 43 35
920,W B 4h 580,4,29.4,-9,11,04h33m47.6091s,-08d58m24.1966s,-9,930.0,5.5,K2,0.119,-26,-0.05,0.008,4; 16,11,29,,1008.00,,04 29 24.4,-09 10 34,5.26,1.47,K4   III,,0.118,200,0.0098,5.9,G,04 34 11.7,-08 58 13
921,11 Orio,4,58.9,15,16,05h03m42.8276s,+15d24m31.5632s,15,732.0,4.6,B9,0.043,0.021,0.008,0.009,5; 23,10.6,28,,1138.00,,04 58 51.1,+15 15 53,4.68,-0.06,A0pSi,11 Ori,0.037,155,0.0155,8.4,,05 04 34.1,+15 24 14
922,19 H Caml,5,6.1,79,7,05h22m32.2956s,+79d13m37.4467s,79,169.0,5.2,F8,0.147,0.083,-0.094,0.048,4; 17,11.7,29,0,0.00,0,0,0,0.00,0.00,0,0,0.000,0,0.0000,0.0,0,0,0
923,21 Orio,5,14.0,2,30,05h19m13.2379s,+02d36m17.2317s,2,916.0,5.4,F5,0.058,-0.012,-0.036,0.017,4; 16,11.1,26,,1210.00,,05 13 58.1,+02 29 32,5.34,0.41,F5   II,21 Ori,0.061,208,0.0198,6.3,G,05 19 11.1,+02 35 44
924,77 Orio,6,22.1,0,22,06h27m08.1683s,+00d18m25.5001s,0,1426.0,5.3,K0,0.012,0.005,0.006,0.006,4; 18,10.5,27,,1501.00,,06 22 05.6,+00 21 33,5.20,1.18,K1   II,,0.009,220,0.0039,6.2,F,06 27 13.7,+00 17 57
925,57 Gemi,7,17.4,25,15,07h23m06.3542s,+25d03m33.9313s,25,1660.0,5.1,G5,0.071,-0.067,-0.07,0.019,4; 18,10.4,26,,1735.00,,07 17 22.6,+25 14 33,5.03,0.90,G8   III,57 Gem,0.069,251,0.0225,7.2,,07 23 28.4,+25 03 02
926,26 Mono,7,36.5,-9,19,07h40m47.2s,-09d32m54.4405s,-9,2172.0,4.1,K0,0.076,-0.072,-0.074,0.018,4; 16,10.3,29,,1817.00,,07 36 28.1,-09 19 04,3.93,1.02,K0   III,ALP Mon,0.082,253,0.0226,2.0,G,07 41 14.8,-09 33 04
927,2 U Maj,8,25.7,65,29,08h33m58.4469s,+65d08m43.1853s,65,638.0,5.4,A0,0.082,-0.053,-0.048,0.011,6; 23,11.4,27,,2026.00,,08 25 39.0,+65 29 09,5.47,0.18,A2m,2 UMa,0.085,219,0.0149,9.8,,08 34 36.0,+65 08 42
928,Pi 167,8,42.2,-1,32,08h47m04.3707s,-01d53m58.6823s,-1,2130.0,5.2,A0,0.043,-0.043,-0.016,0.008,4; 19,10,30,,2100.00,,08 42 10.8,-01 31 50,5.29,0.04,A3   V,,0.037,271,0.0192,6.3,F,08 47 14.9,-01 53 50
929,Lal 19529,9,54.4,25,2,09h59m38.991s,+24d33m18.019s,25,2191.0,7.9,G5,0.242,-0.24,-0.24,0.027,5; 20,12.5,29,,2359.00,,09 54 24.5,+25 01 57,8.46,1.02,K0   V   *,,0.237,259,0.0298,8.4,,10 00 01.7,+24 33 09
930,Lal 21081,10,54.0,36,38,10h59m34.1855s,+36d05m51.1855s,36,2139.0,6.2,Ma,0.096,0.079,0.076,0.01,6; 23,11.1,28,,2557.00,,10 53 58.0,+36 37 48,6.00,1.59,M2   III,,0.085,128,0.0171,8.0,G,10 59 32.8,+36 05 35
931,Grb 1830,11,47.2,38,26,11h52m12.1482s,+37d52m37.4824s,38,2285.0,6.5,G5,7.074,4.006,4.004,0.108,5; 19,12.6,27,,2745.00,,11 47 12.9,+38 26 10,6.45,0.75,G8   Vp,Groom 1830,7.053,145,0.1122,1.6,F,11 52 59.0,+37 43 10
932,6 C Ven,12,20.9,39,34,12h24m56.6815s,+39d00m45.0512s,39,2521.0,5.2,K0,0.082,-0.073,-0.065,0.024,4; 17,10.7,31,,2865.00,,12 20 55.3,+39 34 24,5.02,0.96,G9   III,6 CVn,0.089,245,0.0286,7.2,,12 25 50.9,+39 01 07
933,31 Coma,12,46.8,28,5,12h50m52.598s,+27d32m20.0296s,28,2156.0,5.1,G0,0.027,-0.013,0.036,0.005,7; 25,11.6,26,,2955.00,,12 46 49.6,+28 05 05,4.94,0.67,G0   III,31 Com,0.018,227,0.0095,11.1,,12 51 41.9,+27 32 26
