Number,Name,RA (1900),Dec (1900),RA (2000),Dec (2000),DM,B,Spectral Type,AO Rel. Parallax,AO Error; Weighted Error,No. of Plates,Yale ADS Parallax,Yale Error,Yale Catalog No.,No. of Observations
699,R Scuti,18 42 6.00,-5 49 0.00,18 47 29.0,-05 42 18,-5˚4760,var.,K0p,-6,6;21,27,1,8.6,4334.0--,
700,Lal 35346,18 51 42.00,+23 26 0.00,18 55 53.2,+23 33 23,+23˚3500,8.4,K0,39,5;18,24,41,7.3,4389.0--,
701,Lal 36268,19 11 54.00,+14 22 0.00,19 16 26.7,+14 32 41,+14˚3852,5.5,A0,16,6;23,25,18,9.8,4492.0M,
702,4 Cygni,19 22 36.00,+36 7 0.00,19 26 09.0,+36 19 04,+36˚3557,5.2,A0p,-14,7;24,22,-9,11.1,4553.0--,
703,Lal 36921,19 25 0.00,+34 24 0.00,19 28 41.7,+34 36 39,+34˚3566,8.2,G5,2,5;18,20,4,8.4,4559.0--,
704,"W2 19h, 721",19 25 30.00,+31 25 0.00,19 29 21.4,+31 36 31,+31˚3618,7,G5,46,6;22,26,48,9.8,4562.0--,
705,Lal 37074,19 29 6.00,+27 10 0.00,19 33 11.1,+27 23 00,+27˚3428,8.5,F5,3,5;19,23,5,8.4,4577.0--,
706,9 Cygni,19 30 54.00,+29 15 0.00,19 34 50.9,+29 27 46,+29˚3651,5.4,F5**,16,4;16,27,18,7.2,4592.0--,
707,Zeta Sagittae,19 44 30.00,+18 53 0.00,19 48 58.6,+19 08 31,+18˚4254,5,A2,4,5;21,26,6,3.7,4660.0M,
708,Eta Aquilae,19 47 24.00,+0 45 0.00,19 52 28.3,+01 00 19,+0˚4337,var.,G0p,3,6;20,27,6,6.9,4679.0--,
709,T Cygni,20 43 12.00,+34 0 0.00,20 47 10.8,+34 22 26,+33˚4028,5.2,K0,1,4;15,24,3,7.2,4965.0A,
710,Lal 40604,20 53 6.00,+42 30 0.00,20 56 47.9,+42 53 43,+42˚3915,7.9,K0,1,6;23,23,3,9.3,5026.0--,
711,B.D. +3  4492,20 58 54.00,+3 43 0.00,21 03 50.2,+04 04 34,+3˚4492,8.5,K5,14,6;22,26,16,9.8,5057.0--,
712,"Weisse 20h, 1453",20 59 6.00,+3 35 0.00,21 04 05.7,+03 58 50,+3˚4493,8.5,G5,8,6;20,27,10,9.8,5062.0--,
713,35 Vulpec,21 23 18.00,+27 10 0.00,21 27 40.0,+27 36 30,+26˚4164,5.4,A0,10,5;18,27,15,8.4,5168.0--,
714,Sigma 57,21 32 18.00,+66 17 0.00,21 34 25.7,+66 43 35,+66˚1415,7,K0,15,8;24,19,10,7.7,5207.0A,
715,Sigma 57,21 32 30.00,+66 20 0.00,21 34 25.7,+66 43 35,+66˚1416,7.2,K2,2,6;20,20,10,7.7,5207.0A,
,Mean,,,,,,,,8,5;--,,,,0.00,
716,"Pi 22h, 195",22 37 0.00,+14 0 0.00,22 41 57.3,+14 30 58,+13˚4974,6.1,K0,-11,7;23,20,-7,11.1,5495.0--,
717,Brad 3054,22 59 42.00,+66 40 0.00,23 03 32.9,+67 12 33,+66˚1575,5.5,K0,-7,6;20,21,-2,9.8,5585.0--,
718,6 Andr,23 5. 48.00,+43 0 0.00,23 10 27.1,+43 32 39,+42˚4592,5.8,F5,5,6;20,22,24,7.6,5611.0--,
719,Mayer 968,23 24 24.00,-5 5 0.00,23 29 32.0,-04 31 57,-5˚5999,6.4,K2,6,5;19,23,17,6.5,5688.0--,
720,47 Piscium,00 22 48.00,+17 20 0.00,00 28 02.9,+17 53 34,+17˚55,5.3,Mb,10,7;28,26,15,11.1,73.0--,
721,Alpha Cass,00 34 48.00,+55 59 0.00,00 40 30.4,+56 32 14,+55˚139,2.5,K0,4,5;23,31,12,6.1,114.0--,
722,Phi Cass,01 13 48.00,+57 42 0.00,01 20 04.9,+58 13 54,+57˚260,5.2,F5p,-8,4;19,28,-4,6.6,271.0--,
723,Lal 3972,02 5. 54.00,+56 44 0.00,,,+56˚449,7,G0,18,6;22,25,,,0.00,
724,84 Ceti,02 36 6.00,-1 7 0.00,02 41 13.9,-00 41 43,-1˚377,5.7,F5,32,5;22,27,34,5.8,543.0M,
725,Omega Persei,03 4. 48.00,+39 14 0.00,03 11 17.3,+39 36 42,+39˚724,4.8,K0,19,4;20,30,22,7.2,655.0--,
726,Gamma Camel,03 39 48.00,+71 1 0.00,03 50 21.5,+71 19 56,+70˚259,4.7,A0,6,4;17,27,7,6.1,802.0--,
727,Mu Persei,04 7. 36.00,+48 9 0.00,,,+48˚1063,4.3,G0,5,5;20,27,,,0.00,
728,58 Persei,04 29 48.00,+41 4 0.00,04 36 41.4,+41 15 52,+40˚1000,4.5,G4p,16,4;17,28,10,4.2,1011.0A,
729,111 Tauri,05 18 36.00,+17 17 0.00,05 24 25.4,+17 23 00,+17˚920,5.1,G0,62,6;27,26,68,6.3,1224.0--,
730,56 Orion,05 47 12.00,+1 50 0.00,05 52 26.4,+01 51 18,+1˚1151,5,K0,3,4;21,29,3,6.1,1349.0--,
731,40 Aurigae,05 59 42.00,+38 30 0.00,06 06 35.1,+38 28 57,+38˚1377,5.3,A3,-3,5;22,26,1,8.4,1403.0--,
732,"W1 6h, 1500",06 51 24.00,+1 18 0.00,06 56 34.0,+01 09 43,+1˚1600,7.7,G5,31,4;20,27,31,5.4,1627.0--,
733,64 Gem,07 23 6.00,+28 19 0.00,07 29 20.5,+28 07 05,+28˚1396,5,A2,3,4;16,27,7,7.2,1764.0--,
734,76 Gem,07 38 0.00,+26 1 0.00,07 44 06.9,+25 47 03,+26˚1633,5.4,K5,2,4;20,28,5,7.2,1822.0--,
735,Lal 17050,08 34 24.00,+6 7 0.00,08 39 43.8,+05 45 50,+6˚2007,7.8,G5,34,6;24,29,8,6.4,2066.0A,
736,Lal 17053,08 34 24.00,+6 8 0.00,08 39 43.8,+05 45 50,,,,-22,6;26,29,8,6.4,2066.0A,
,Mean,,,,,,,,6,4;--,,,,0.00,
737,Fed 1466,09 12 0.00,+65 26 0.00,09 20 14.1,+65 00 42,+65˚703,7.6,G5,20,5;4,27,25,6.3,2211.0--,
738,Pi 96,10 27 42.00,+49 42 0.00,10 33 50.5,+49 11 10,+49˚1966,7.6,F8,17,6;23,27,25,8.2,2469.0--,
739,65 Leonis,11 1. 48.00,+2 30 0.00,11 06 54.2,+01 57 20,+2˚2387,5.7,G5,32,6;23,24,34,7.7,2584.0--,
740,23 Comae,12 29 54.00,+23 11 0.00,12 34 51.0,+22 37 45,+23˚2475,4.8,A0,-3,6;23,26,1,8.2,2900.0--,
741,82 Virginis,13 36 24.00,-8 12 0.00,13 41 36.7,-08 42 11,-7˚3674,5.2,Ma,8,7;24,27,13,8.6,3126.0--,
742,Mayer 576,14 31 42.00,-11 53 0.00,14 36 59.7,-12 18 19,-11˚3770,6.2,F8,31,5;20,27,37,5.8,3304.0--,
743,Omicron Bootis,14 40 36.00,+17 23 0.00,14 45 14.4,+16 57 51,+17˚2780,4.7,K0,39,5;19,29,43,8.4,3337.0--,
744,110 Virginis,14 57 48.00,+2 29 0.00,15 02 54.0,+02 05 28,+2˚2905,4.6,K0,16,6;25,32,22,8.3,3398.0--,
745,Lal 28017,15 13 30.00,+67 44 0.00,15 14 38.3,+67 20 48,+67˚876,5.2,G0,43,7;26,27,48,7.2,3455.0--,
746,5 Herc,15 56 42.00,+18 6 0.00,16 01 14.3,+17 49 06,+18˚3101,5.3,G5,-11,4;17,30,-7,7.2,3625.0--,
747,Delta Ophiuc,16 9. 6.00,-3 26 0.00,16 14 20.7,-03 41 39,-3˚3903,3,Ma,26,4;18,32,30,5.4,3684.0--,
748,42 Herc,16 36 0.00,+49 7 0.00,16 38 44.8,+48 55 42,+49˚2531,5.1,Ma,14,7;27,27,17,11.1,3792.0--,
749,60 Herc,17 0. 42.00,+12 53 0.00,17 05 22.6,+12 44 27,+12˚3142,4.9,A3,15,5;20,30,19,8.4,3882.0--,
750,Lal 31478,17 14 36.00,-7 55 0.00,17 20 00.1,-08 01 23,-7˚4427,8,G0,7,6;23,34,9,9.8,3933.0--,
751,Zeta Serp,17 55 12.00,-3 41 0.00,18 00 28.9,-03 41 24,-3˚4217,4.6,F0,48,5;21,28,44,5.8,4109.0--,
752,Omicron Herc,18 3. 36.00,+28 45 0.00,18 07 32.5,+28 45 45,+28˚2925,3.8,A0,-11,5;21,27,2,7.5,4154.0--,
753,Brad 2293,18 11 36.00,-3 2 0.00,18 16 53.0,-03 00 27,-3˚4263,6.1,G5,2,6;27,40,5,8.2,4194.0--,
754,Kappa Lyrae,18 16 24.00,+36 1 0.00,18 19 51.7,+36 03 51,+36˚3094,4.3,K0,7,5;18,26,8,7.3,4216.0--,
755,45 Drac,18 30 48.00,+56 58 0.00,18 32 34.4,+57 02 44,+56˚2113,5,F8p,5,5;20,28,9,8.4,4276.0--,
756,Lal 35488,18 55 0.00,+30 2 0.00,18 58 50.9,+30 10 50,+29˚3423,6.6,G0,38,4;18,30,40,6.8,4404.0--,
757,Gamma Lyrae,18 55 12.00,+32 33 0.00,18 58 56.6,+32 41 22,+32˚3286,3.3,A0p,9,4;18,30,16,6.5,4407.0--,
758,12 Aquilae,18 56 18.00,-5 53 0.00,19 01 40.7,-05 44 20,-5˚4840,4.2,K0,14,6;21,27,17,6.7,4414.0--,
759,23 Aquilae,19 13 30.00,+0 54 0.00,19 18 32.4,+01 05 06,+0˚4168,5.3,K0,-7,6;21,24,3,8.2,4506.0--,
760,Nu Aquilae,19 21 24.00,+0 8 0.00,19 26 31.1,+00 20 18,+0˚4206,4.9,F0,-9,7;25,29,-10,7.5,4546.0A,
761,Sigma Drac,19 32 36.00,+69 29 0.00,19 32 21.3,+69 39 40,+69˚1053,4.8,K0,177,7;25,28,174,0.9,4607.0--,
762,13 Vulpec,19 49 12.00,+23 49 0.00,19 53 27.7,+24 04 46,+23˚3820,4.5,A0,0 .000,6;22,28,6,8.2,4696.0--,
763,Lal 38683,20 6. 36.00,+15 53 0.00,,,+15˚4074,7.3,K0,28,6;22,30,,,0.00,
764,41 Cygni,20 25 18.00,+30 2 0.00,20 29 23.7,+30 22 06,+29˚4057,4.1,F5p,11,6;23,27,9,7.2,4875.0--,
765,52 Cygni,20 41 30.00,+30 21 0.00,20 45 39.7,+30 43 11,+30˚4167,4.3,K0,9,5;19,28,12,7.3,4952.0--,
766,Epsilon Aquarii,20 42 18.00,-9 52 0.00,20 47 40.5,-09 29 44,-10˚5506,3.8,A0,2,6;21,28,18,7.4,4960.0--,
767,Alpha Equulei,21 10 48.00,+4 50 0.00,21 15 49.4,+05 14 52,+4˚4635,4.1,F8,2,4;18,30,18,4.9,5115.0A,
768,Gr 3436,21 16 48.00,+52 33 0.00,21 19 58.7,+52 58 44,+52˚2916,6.9,G5,-3,5;19,28,,5.5,5145.0A,
769,Gr 3436,21 16 48.00,+52 33 0.00,21 19 58.7,+52 58 44,+33˚--,,,-2,4;16,28,,5.5,5145.0A,
,Mean,,,,,,,,-2,3;--,,,,0.00,
770,12 Pegasi,21 41 30.00,+22 29 0.00,21 46 04.4,+22 56 55,+22˚4472,5.4,K0,2,5;18,26,5,8.4,5257.0--,
771,Lal 42883,21 54 18.00,+29 21 0.00,21 58 40.8,+29 48 45,+29˚4550,6.8,F5,24,6;23,29,28,5.9,5310.0A,
772,32 Aquarii,21 59 36.00,-1 23 0.00,22 04 47.3,-00 54 23,-1˚4242,5.2,A3,4,6;21,28,13,7.7,5325.0--,
773,Brad 2935,22 1. 48.00,+82 23 0.00,,,+82˚673,7.1,F5,7,7;25,29,,,0.00,
774,Gr 3709,22 1. 54.00,+82 23 0.00,,,+82˚674,7.4,F5,7,6;22,29,,,0.00,
,Mean,,,,,,,,7,5;--,,,,0.00,
775,37 Pegasi,22 24 54.00,+3 55 0.00,22 29 57.9,+04 25 53,+3˚4713,5.5,F5,31,6;22,29,28,7.3,5440.0M,
776,Lambda Aquarii,22 47 24.00,-8 7 0.00,22 52 36.8,-07 34 46,-8˚5968,3.8,Ma,9,5;19,28,14,7.0,5540.0--,
777,56 Pegasi,23 2. 12.00,+24 56 0.00,23 07 06.7,+25 28 05,+24˚4716,5,K0,-8,6;24,28,2,8.1,5597.0--,
778,57 Pegasi,23 4. 30.00,+8 8 0.00,23 09 31.5,+08 40 37,+7˚4981,5.4,Mb,7,5;21,29,4,6.6,5605.0A,
779,59 Pegasi,23 6. 42.00,+8 11 0.00,23 11 44.2,+08 43 12,+7˚4991,5.2,A3,19,6;22,27,25,9.8,5612.0--,
780,38 Ceti,01 9. 42.00,-1 31 0.00,01 14 49.1,-00 58 25,-1˚162.0,5.8,F5,22,7; 24,21,27,7.7,254.0--,
781,Theta Ceti,01 19 0.00,-8 42 0.00,01 24 01.3,-08 11 00,-8˚244.0,3.8,K0,31,5; 18,21,35,2.6,286.0--,
782,107 Pisc,01 37 6.00,+19 47 0.00,01 42 29.8,+20 16 05,+19˚279.0,5.3,G5,125,9; 30,19,132,2.3,356.0--,
783,6 Tria,02 6. 36.00,+29 29 0.00,02 12 22.3,+30 18 10,+29˚371.0,5.2,G0,-1,6; 23,23,2,9.8,447.0A,
784,7 Taur,03 28 30.00,+24 7 0.00,03 34 26.5,+24 27 51,+23˚473.0,5.9,A2,2,5; 17,21,4,6.9,744.0A,
785,Lal 11218,05 51 18.00,+15 44 0.00,05 57 01.7,+15 44 29,+15˚993.0,7.9,G0,2,6; 22,20,4,9.8,1368.0--,
786,Lal 15743,07 58 48.00,+12 34 0.00,08 04 23.1,+12 17 22,+12˚1759.0,7.9,G5,43,5; 15,18,32,3.8,1916.0M,
787,14 Boot,14 9. 18.00,+13 26 0.00,14 14 05.1,+12 57 34,+13˚2764.0,5.5,F8,14,8; 27,20,15,8.4,3233.0--,
788,Pi 69,14 18 30.00,+8 54 0.00,14 23 22.6,+08 26 48,+9˚2882.0,5.1,A0,-3,7; 23,21,11,5.1,3266.0A,
789,Lal 26635,14 31 42.00,-3 51 0.00,14 36 53.7,-04 16 44,-3˚3648.0,7.8,G0,9,7; 22,19,16,8.9,3303.0--,
790,Lal 29330,16 1. 12.00,+10 57 0.00,,,+11˚2910.0,8.5,G5,26,7; 21,20,,,0.00,
791,Lal 31822,17 23 0.00,+31 10 0.00,17 26 41.3,+31 03 34,+31˚3027.0,8.1,F8,19,8; 25,19,18,7.4,3962.0--,
792,Dpt 1949 m,17 25 12.00,+0 59 0.00,,,+0˚3300.0,5.3,G5,52,6; 20,19,,,0.00,
793,Lal 33243,18 1. 48.00,+15 34 0.00,,,+15˚3358.0,8.5,K0,25,7; 17,19,,,0.00,
794,Lal 34435,18 28 36.00,+44 57 0.00,18 31 29.9,+45 00 34,+44˚2919.0,8.1,G0,17,8; 25,21,19,12.5,4268.0--,
795,Beta Scut,18 41 54.00,-4 51 0.00,18 47 10.4,-04 44 52,-4˚4582.0,4.5,G0,11,8; 24,20,20,6.1,4332.0--,
796,Omicron Drac,18 49 42.00,+59 16 0.00,18 51 12.0,+59 23 17,+59˚1925.0,4.8,K0,3,4; 13,20,3,5.7,4374.0--,
797,113 Herc,18 50 30.00,+22 32 0.00,18 54 44.8,+22 38 41,+22˚3524.0,4.6,G0.,12,8; 25,19,11,10.5,4378.0M,
798,Theta Lyra,19 12 54.00,+37 57 0.00,19 16 22.0,+38 08 01,+37˚3398.0,4.5,K0,-15,7; 24,20,10,6.1,4498.0--,
799,Zeta Dlph,20 30 36.00,+14 20 0.00,20 35 18.5,+14 40 27,+14˚4353.0,4.7,A2,7,5; 17,17,12,8.4,4898.0--,
800,71 Agil,20 33 12.00,-1 27 0.00,20 38 20.3,-01 06 17,-1˚4016.0,4.5,K0,-4,7; 21,19,8,6.8,4908.0--,
801,Delta Dlph,20 38 48.00,+14 43 0.00,20 43 27.5,+15 04 28,+14˚4403.0,4.5,A5,3,6; 20,20,8,8.2,4938.0--,
802,30 Vulp,20 40 36.00,+24 55 0.00,20 44 52.5,+25 16 14,+24˚4229.0,5.1,K2,4,5; 16,19,4,7.3,4950.0--,
803,77 Cygn,21 38 24.00,+40 38 0.00,21 42 22.8,+41 04 36,+40˚4615.0,5.5,A0,-5,6; 21,21,,9.8,5239.0--,
804,11 Ceph,21 40 30.00,+70 51 0.00,21 41 55.3,+71 18 41,+70˚1193.0,4.8,K0,11,8; 24,20,5,7.5,5254.0--,
805,34 Pegs,22 21 30.00,+3 53 0.00,22 26 37.4,+04 23 37,+3˚4705.0,5.8,G0,39,6; 20,20,40,7.4,5425.0A,
806,64 Pisc,00 43 42.00,+16 24 0.00,00 48 58.6,+16 56 25,+16˚76.0,5.2,F5,42,8; 30,28,45,12.5,159.0--,
807,Polaris,01 22 36.00,+88 46 0.00,02 31 49.7,+89 15 50,+88˚8.0,2.1,F8,1,6; 29,30,3,4.0,299.0--,
808,A Oe 2618,02 14 0.00,+70 43 0.00,02 23 00.6,+71 10 37,+70˚169.0,8.5,K1,27,6; 26,29,36,6.5,475.0--,
809,SU Cass,02 43 0.00,+68 28 0.00,02 51 58.7,+68 53 18,+68˚200.0,Var,F5,8,5; 20,28,8,5.3,572.0--,
810,36 Pers,03 25 30.00,+45 43 0.00,03 32 26.2,+46 03 25,+45˚778.0,5.4,F0,25,5; 22,30,29,8.4,737.0--,
811,Delta Pers,03 35 48.00,+47 28 0.00,03 42 55.4,+47 47 15,+47˚876.0,3.1,B5,6,6; 26,30,11,8.4,765.0--,
812,52 Pers,04 8. 6.00,+40 14 0.00,04 14 53.2,+40 29 00,+40˚912.0,4.9,G0,-1,6; 27,28,3,9.8,931.0--,
813,Eta Auri,04 59 30.00,+41 6 0.00,05 06 30.8,+41 14 04,+41˚1058.0,3.3,B3,10,4; 19,27,17,6.5,1139.0--,
814,133 Taur,05 42 0.00,+13 52 0.00,05 47 42.8,+13 53 58,+13˚979.0,5.2,B5,-8,4; 19,30,-3,7.2,1322.0--,
815,5 Mono,06 10 0.00,-6 15 0.00,06 14 51.3,-06 16 29,-6˚1469.0,4.1,K0,10,5; 21,29,13,6.6,1452.0--,
816,RT Auri,06 22 6.00,+30 33 0.00,06 28 34.1,+30 29 35,+30˚1238.0,Var,G0,3,3; 16,28,7,4.5,1500.0--,
817,1 C Min,07 19 24.00,+11 53 0.00,07 24 58.1,+11 40 10,+11˚1578.0,5.3,A2,9,4; 18,31,12,7.2,1743.0--,
818,81 Gemi,07 40 18.00,+18 45 0.00,07 46 07.4,+18 30 35,+18˚1733.0,5,K2,7,4; 19,30,15,6.5,1833.0--,
819,Lal 17161,08 38 36.00,+42 3 0.00,08 45 10.4,+41 40 18,+42˚1922.0,8.2,K0,51,6; 23,30,38,4.2,2082.0--,
820,Lal 19229,09 43 30.00,+14 14 0.00,09 48 56.0,+13 44 39,+14˚2151.0,8.1,F0,21,5; 23,32,15,1.5,2323.0--,
821,Eta Leon,10 1. 54.00,+17 15 0.00,10 07 19.9,+16 45 45,+17˚2171.0,3.6,A0p,-10,5; 21,29,-1,8.4,2380.0--,
822,62 Urs. Maj,11 36 24.00,+32 18 0.00,11 41 34.2,+31 44 45,+32˚2179.0,5.7,F5,18,4; 17,31,26,6.2,2703.0--,
823,17 Virg,12 17 24.00,+5 52 0.00,12 22 32.0,+05 18 19,+6˚2599.0,6.5,F8,17,6; 23,29,28,6.6,2849.0--,
824,37 Coma,12 55 30.00,+31 19 0.00,13 00 16.5,+30 47 05,+31˚2434.0,5.1,K0,10,5; 20,29,15,7.6,2981.0--,
825,17 H CVen,13 30 18.00,+37 42 0.00,13 34 47.7,+37 10 56,+37˚2426.0,5,F0,14,5; 19,25,18,8.4,3104.0--,
826,Sigma Boot,14 30 18.00,+30 11 0.00,14 34 40.8,+29 44 42,+30˚2536.0,4.5,F0,70,6; 22,29,73,5.9,3300.0--,
827,Omega  Boot,14 57 42.00,+25 24 0.00,15 02 06.5,+25 00 29,+25˚2861.0,4.9,K5,22,5; 21,31,25,8.4,3395.0--,
828,Beta Cor B,15 23 42.00,+29 27 0.00,15 27 49.7,+29 06 20,+29˚2670.0,3.7,F0p,34,8; 32,28,29,12.8,3495.0M,
829,Rho Serp,15 46 54.00,+21 17 0.00,15 51 15.9,+20 58 39,+21˚2829.0,4.9,K5,6,7; 28,31,8,1.9,3590.0--,
830,Epsilon Ophi,16 13 0.00,-4 27 0.00,16 18 19.3,-04 41 32,-4˚4086.0,3.3,K0,30,7; 25,29,40,8.3,3696.0--,
831,43 Herc,16 41 0.00,+8 46 0.00,16 45 49.9,+08 34 57,+8˚3271.0,5.4,K2,12,6; 25,28,8,7.7,3813.0--,
832,Lal 31313,17 6. 18.00,+40 54 0.00,,,+40˚3109.0,5.1,K0,15,5; 21,27,,,0.00,
833,49 Ophi,17 21 36.00,+4 14 0.00,17 26 30.8,+04 08 24,+4˚3422.0,4.4,K0,2,6; 25,31,5,7.2,3960.0--,
834,96 Herc,17 58 6.00,+20 50 0.00,18 02 22.9,+20 50 00,+20˚3649.0,5.1,B3,-2,4; 18,29,1,6.5,4125.0--,
835,104 Herc,18 8. 6.00,+31 23 0.00,18 11 54.2,+31 24 19,+31˚3199.0,5,Ma,4,5; 19,28,7,8.4,4180.0--,
836,Delta Scut,18 36 48.00,-9 9 0.00,18 42 16.4,-09 03 09,-9˚4796.0,4.7,F0,17,4; 16,28,22,5.9,4311.0--,
837,Beta 1 Lyra,18 46 24.00,+33 15 0.00,18 50 04.8,+33 21 45,+33˚3223.0,Var,B5,-13,5; 22,29,-6,7.7,4353.0A,
838,Theta 1 Serp,18 51 12.00,+4 4 0.00,18 56 13.1,+04 12 13,+4˚3916.0,4.5,A5,29,6; 24,28,28,5.2,4387.0A,
839,Theta 2 Serp,18 51 18.00,+4 4 0.00,18 56 13.1,+04 12 13,+4˚3916.0,5.4,A5,9,8; 30,28,28,5.2,4387.0A,
,Mean,,,,,,,,21,5,,,,0.00,
840,Epsilon Aqil,18 55 6.00,+14 56 0.00,,,+14˚3736.0,4.2,K0,24,7; 28,29,,,0.00,
841,21 Aqil,19 8. 42.00,+2 7 0.00,,,+2˚3824.0,5.1,B8,2,6; 23,27,,,0.00,
842,53 Drac,19 9. 48.00,+56 41 0.00,19 11 40.5,+56 51 33,+56˚2209.0,5.2,K0,7,6; 25,30,10,9.8,4484.0--,
843,26 Aqil,19 15 12.00,-5 36 0.00,19 20 32.8,-05 24 56,-5˚4936.0,5.1,G5,26,5; 21,30,28,7.2,4519.0--,
844,36 Aqil,19 25 24.00,-3 0 0.00,19 30 39.8,-02 47 20,-3˚4612.0,5.2,Ma,25,6; 25,29,29,8.6,4560.0--,
845,Lal 37728,19 43 54.00,+27 37 0.00,19 48 00.9,+27 52 10,+27˚3516.0,6.8,G5,23,5; 19,27,25,8.4,4659.0--,
846,68 Drac,20 9. 54.00,+61 47 0.00,20 11 34.8,+62 04 43,+61˚1983.0,5.7,F5,24,5; 18,27,30,7.1,4807.0--,
848,Mu Aqar,20 47 18.00,-9 22 0.00,20 52 39.2,-08 58 59,-9˚5598.0,4.8,A3,11,5; 21,29,15,6.5,4992.0--,
849,Beta Ceph,21 27 24.00,+70 7 0.00,21 28 39.6,+70 33 39,+69˚1173.0,3.3,B1,3,6; 24,33,12,6.5,5192.0A,
850,Xi Aqar,21 32 24.00,-8 19 0.00,21 37 45.1,-07 51 14,-8˚5701.0,4.8,A5,-5,5; 20,28,10,7.2,5208.0--,
851,9 Pegs,21 39 48.00,+16 53 0.00,21 44 30.6,+17 20 59,+16˚4582.0,4.5,G5,-1,5; 20,28,5,7.3,5248.0--,
852,Lamda Ceph,22 8. 6.00,+58 55 0.00,,,+58˚2402.0,5.2,Od,1,4; 17,29,,,0.00,
853,Epsilon 2923,22 30 30.00,+69 51 0.00,22 33 17.0,+70 22 26,+69˚1263.0,6.3,A0,-11,7; 27,27,-1,9.2,5463.0A,
854,Theta Pisc,23 22 54.00,+5 50 0.00,23 27 58.1,+06 22 43,+5˚5173.0,4.4,G5,15,5; 18,29,14,6.8,5682.0--,
855,15 Andr,23 29 42.00,+39 41 0.00,23 34 37.5,+40 14 11,+39˚5114.0,5.5,A0,8,5; 19,28,12,8.4,5702.0--,
856,Lal 47226,00 0. 12.00,+8 14 0.00,,,+7˚5128.0,8.2,K0,-6,5; 21,31,,,0.00,
857,Grb 410,01 52 54.00,+75 1 0.00,02 02 09.3,+75 30 08,+74˚91.0,6.6,A0,4,5; 23,30,6,8.4,409.0--,
858,Comp Gamma Ceti,02 37 18.00,+2 57 0.00,02 42 29.2,+03 22 20,+2˚418.0,10.2,Mb,39,5; 24,30,41,4.9,548.0--,
859,Gamma Ceti,02 38 6.00,+2 49 0.00,02 43 18.0,+03 14 09,+2˚422.0,3.6,A2,45,5; 23,30,47,4.9,554.0A,
860,63 Arie,03 17 0.00,+20 23 0.00,03 22 45.1,+20 44 30,+20˚551.0,5.2,K0,4,5;21,27,7,8.4,706.0--,
861,88 Taur,04 30 12.00,+9 57 0.00,04 35 39.1,+10 09 39,+9˚607.0,4.4,A3,27,7; 32,28,34,7.5,1015.0--,
862,90 Taur,04 32 36.00,+12 19 0.00,04 38 09.4,+12 30 38,+12˚618.0,4.3,A3,15,5; 22,27,21,7.3,1022.0--,
863,29 Orio,05 19 6.00,-7 54 0.00,05 23 56.8,-07 48 28,-7˚1064.0,4.2,K0,3,7; 32,28,8,7.8,1226.0--,
864,1 Lync,06 8. 42.00,+61 33 0.00,06 17 54.7,+61 30 54,+61˚869.0,5.3,Ma,2,5; 21,29,5,8.4,1443.0--,
865,66 Auri,07 17 12.00,+40 52 0.00,07 24 08.4,+40 40 19,+40˚1852.0,5.3,K0,2,3; 14,26,5,6.0,1733.0--,
866,Eta C Min,07 22 42.00,+7 9 0.00,07 28 02.1,+06 56 31,+7˚1729.0,5.3,A5,8,4; 16,26,10,6.3,1763.0--,
867,Lal 16904,08 33 6.00,+56 2 0.00,08 40 42.1,+55 40 04,+56˚1322.0,8.1,G0,5,7; 27,26,11,8.1,2057.0--,
868,Lal 17081,08 36 12.00,+34 33 0.00,08 42 30.8,+34 11 15,+34˚1885.0,7.4,F8,22,3; 15,29,25,6.0,2073.0--,
869,75 Canc,09 2. 54.00,+27 3 0.00,,,+27˚1715.0,6,G5,39,5; 21,29,,,0.00,
870,Beta U Maj,10 55 48.00,+56 55 0.00,11 01 50.4,+56 22 56,+57˚1302.0,2.4,A0,43,6; 24,30,46,8.2,2567.0--,
871,Gamma U Maj,11 48 36.00,+54 15 0.00,11 53 49.8,+53 41 40,+54˚1475.0,2.5,A0,23,7; 26,23,22,8.9,2749.0--,
872,12 Coma,12 17 30.00,+26 24 0.00,12 22 30.3,+25 50 45,+26˚2337.0,4.8,F5,6,"5 , 20",29,11,8.4,2850.0--,
873,Alpha 2  C Ven,12 51 24.00,+38 51 0.00,12 56 01.6,+38 19 06,+39˚2580.0,2.9,A0p,22,6; 25,39,26,7.3,2969.0A,
874,41 Coma,13 2. 24.00,+28 10 0.00,13 07 10.7,+27 37 28,+28˚2185.0,4.9,K5,-3,7; 26,30,8,8.9,2995.0--,
875,Zeta Virg,13 29 36.00,+0 5 0.00,13 34 41.5,-00 35 44,+0˚3076.0,3.4,A2,35,5; 19,28,39,6.4,3100.0--,
876,109 Virg,14 41 12.00,+2 19 0.00,14 46 14.9,+01 53 34,+2˚2862.0,3.8,A0,30,7; 26,30,34,7.9,3340.0--,
877,Epsilon Libr,15 18 48.00,-9 58 0.00,15 24 11.9,-10 19 20,-9˚4138.0,5.1,F0,25,5; 20,30,33,7.3,3478.0--,
878,Zeta 1 Cor B,15 35 36.00,+36 58 0.00,15 39 22.7,+36 38 09,+37˚2665.0,6,B8,29,7; 28,30,16,6.0,3542.0A,
