No.,Name,RA 1900 (Hour),RA 1900 (Min),Dec 1900 (Degrees),Dec 1900 (Min),RA 2000,Dec 2000,D. Number 1,D Number 2,Mag.,Spectral Type,Tot. Mu,Mu alpha,AO Mu alpha,Rel. Parallax,P.E.,Ptg. Mag.,No. Pl
1782,Eta Cnc,8,26.9,20,47,08h31m47.4169s,+20d26m47.3455s,20,2109.0,5.5,K0,0.069,-0.045,-0.036,0.012,5;24,12.5,31
1783,Br 1238,8,38.8,-6,52,08h42m54.7548s,-07d13m31.5965s,-6,2708.0,4.7,G0,0.004,-0.004,-0.006,0.004,5;23,12,32
1784,59 Cnc,8,50.8,33,18,08h56m10.8397s,+32d55m05.8955s,33,1785.0,5.5,A3,0.087,-0.045,-0.046,0.007,5;22,12.2,30
1785,Pi 29,12,11.5,33,37,12h16m02.2034s,+33d03m38.9078s,33,2213.0,5.1,K0,0.131,-0.049,-0.056,0.019,6;23,11.9,34
1786,5 U Mi,14,27.7,76,8,14h26m48.9732s,+75d41m13.2431s,76,527.0,4.4,K2,0.02,0.008,0.012,0.021,7;22,12.1,31
1787,Lal 27055,14,45.8,24,19,14h49m27.5185s,+23d54m05.8128s,24,2786.0,5.8,G0,0.151,0.149,0.175,0.067,5;17,12.6,35
1788,WB 716,15,32.4,40,10,15h35m37.2963s,+39d50m06.3056s,40,2903.0,7.9,K0,0.455,-0.452,-0.443,0.049,6;20,12.5,35
1789,Sigma 298,15,32.5,40,8,15h35m37.4024s,+39d48m06.3119s,40,2905.0,6.8,K0,0.45,-0.449,-0.446,0.052,6;21,12,40
1790,Grb 2275,15,35.0,80,47,15h29m21.1358s,+80d26m54.5232s,80,480.0,6.5,G5,0.254,-0.227,-0.218,0.044,7;23,12.2,32
1791,Pi 212,15,50.2,20,36,15h54m25.0958s,+20d18m19.2977s,20,3166.0,5.8,K5,0.091,-0.082,-0.077,0.014,7;22,12.7,30
1792,Iota Oph,16,49.3,10,20,16h53m44.2936s,+10d10m08.6593s,10,3092.0,4.3,B8,0.067,-0.053,-0.056,0.022,6;22,12.2,30
1793,Epsilon U Mi,16,56.2,82,12,16h45m45.5532s,+82d02m04.2352s,82,498.0,4.4,G5,0.014,0.014,0.023,0.002,8;31,12.4,35
1794,Lal 31041,16,58.2,25,39,17h02m05.5967s,+25d30m21.5867s,25,3183.0,6,K0,0.098,0.051,0.066,0.014,5;20,12.4,32
1795,Lal 31039,16,58.6,14,39,17h02m33.8037s,+14d30m23.5739s,14,3180.0,6.5,K0,0.258,-0.173,-0.165,0.031,5;17,12.9,33
1796,Lal 31662,17,18.3,24,59,17h22m06.1955s,+24d53m12.3712s,25,3252.0,6.8,F5,0.195,0.084,0.07,0.017,7;27,12.4,33
1797,112 Her,18,48.0,21,18,18h52m16.3664s,+21d25m15.0604s,21,3582.0,5.3,B9,0.016,-0.011,-0.01,0.003,7;25,12.1,34
1798,Mu 18396,18,56.2,2,21,19h01m01.9215s,+02d29m26.2999s,2,3753.0,7.2,K0,0.232,0,0.022,0.006,6;22,12.8,31
1799,14 Cyg,19,36.2,42,35,19h39m15.0946s,+42d48m48.3383s,42,3413.0,5.4,B8,0.032,0.017,0.023,0.015,5;21,12.3,36
1800,Lal 38451,20,1.5,38,12,20h04m36.5003s,+38d29m03.4856s,38,3896.0,6.6,G5,0.276,0.255,0.25,0.042,5;18,12.3,34
1801,43 Cyg,20,24.0,49,3,20h27m02.6737s,+49d22m49.0441s,48,3128.0,5.7,F0,0.089,0.067,0.068,0.01,7;26,12.4,32
1802,Grb 3285,20,43.5,52,38,20h45m54.6616s,+52d59m58.1646s,52,2799.0,6.4,K0,0.136,-0.082,-0.081,0.006,8;29,12.4,30
1803,Lal 40728,20,56.1,39,52,20h59m47.1942s,+40d15m24.3897s,39,4400.0,6.6,F8,0.317,0.236,0.238,0.015,5;19,12.3,33
1804,32 Peg,22,16.7,27,50,22h20m36.7735s,+28d20m10.4695s,27,4299.0,4.9,B8,0.016,0.015,0.019,0.017,7;24,12,31
1805,Grb 3882,22,41.7,44,1,22h45m24.5326s,+44d32m33.1015s,43,4300.0,5.8,F0,0.14,0.136,0.147,0.016,7;26,12.5,32
1806,"Ci 20, 1382",22,42.5,43,49,22h46m25.3677s,+44d20m35.9793s,43,4305.0,10.2,M5e,0.838,0.7,0.71,0.195,6;22,12,34
1807,92 Aqr,23,11.7,-8,16,23h16m11.1611s,-07d43m16.3707s,-8,6076.0,5.1,Mb,0.024,-0.022,-0.029,0.004,7;25,11.9,33
1808,Tau Cas,23,42.2,58,6,23h46m52.6641s,+58d39m19.9625s,57,2804.0,5.1,K0,0.083,0.061,0.061,0.012,6;2I,12.7,30
1809,61 Psc,0,42.6,20,23,00h47m17.1396s,+20d55m46.6657s,20,105.0,6.6,F8,0.154,0.154,0.164,0.019,7;23,12.5,34
1810,Tau Psc,1,6.2,29,34,01h11m30.0342s,+30d05m55.0555s,29,190.0,4.7,K0,0.078,0.069,0.059,0.013,7;27,12.3,33
1811,Lal 2450,1,16.9,18,10,01h21m22.3778s,+18d41m27.5817s,17,197.0,8,F8,0.541,0.541,0.549,0.033,7;24,13.1,42
1812,Nu Ari,2,33.1,21,32,02h38m40.9118s,+21d57m58.7184s,21,362.0,5.4,A2,0.018,-0.011,-0.009,0.008,4;19,11.6,36
1813,Grb 631,3,9.1,50,34,03h16m09.2281s,+50d56m17.5741s,50,729.0,5.3,K0,0.016,-0.006,-0.004,0.009,4;17,12.3,35
1814,WB 617,3,35.3,-3,32,03h40m00.9879s,-03d12m32.4473s,-3,592.0,6.7,F8,0.733,0.701,-0.684,0.052,4;19,12.4,34
1815,Sigma 443 A,3,40.2,41,9,03h46m44.5625s,+41d27m45.4959s,41,750.0,8.2,G5,1.369,0.595,0.602,0.04,5;22,12,40
1816,Sigma 443 B,3,40.2,41,9,03h46m44.5625s,+41d27m45.4959s,41,750.0,8.8,G5,1.369,0.595,0.595,0.045,6;23,12,40
1817,91 Tau,4,33.4,15,36,04h38m42.4478s,+15d47m59.5564s,15,665.0,5.2,A2,0.084,0.042,0.03,0.018,4;21,12.3,39
1818,92 Tau,4,33.6,15,43,04h38m42.7222s,+15d54m59.5378s,15,666.0,4.8,A3,0.086,0.084,0.076,0.018,4;19,12.3,40
1819,1 Aur,4,43.2,37,19,04h49m44.351s,+37d29m32.9836s,37,969.0,5.1,K2,0.047,-0.032,-0.037,0.024,5;22,12.4,32
1820,126 Tau,5,35.5,16,29,05h40m46.8145s,+16d32m13.067s,16,841.0,4.9,B3,0.024,0.012,0.005,0.012,6;24,12.3,32
1821,CGA 7512,6,10.7,-9,0,06h14m46.2156s,-09d01m48.2981s,-8,1368.0,6,B9,0.04,-0.037,-0.018,-0.003,5;23,11.8,36
1822,Lal 12104,6,15.0,-2,54,06h20m00.5873s,-02d56m32.983s,-2,1564.0,5.2,Ma,0.014,-0.013,-0.007,-0.003,5;22,12.3,31
1823,Lal 13100,6,42.8,-8,53,06h46m46.7644s,-08d59m25.8617s,-8,1558.0,5.3,K5,0.018,0.018,-0.008,0.002,5;21,11.6,32
1824,Lal 15290,7,47.2,30,55,07h53m17.9927s,+30d39m33.1969s,31,1684.0,8.2,G0,1.974,0.725,0.712,0.039,6;27,12.4,36
1825,Grb 1368,7,49.1,79,45,08h04m43.8327s,+79d28m41.2611s,79,265.0,5.3,A0,0.059,-0.027,-0.027,0.019,6;25,12.1,34
1826,Fed 1221,7,57.2,72,13,08h08m02.8834s,+71d55m58.5423s,72,395.0,8,G0,0.503,-0.206,-0.225,0.033,5;20,12.8,34
1827,WB 1219,8,49.4,-5,3,08h53m58.4057s,-05d25m43.855s,-4,2490.0,6,G0,0.419,-0.418,-0.413,0.079,7;27,12.2,38
1828,Omega Hyd,9,0.7,5,30,09h05m16.0533s,+05d06m06.3319s,5,2116.0,5.4,K0,0.019,-0.016,0.01,0.012,5;25,12.4,39
1829,23 Hyd,9,11.7,-5,56,09h15m57.8345s,-06d20m58.3549s,-5,2762.0,5.4,K0,0.019,0.019,0.017,-0.005,5;23,11.2,38
1830,27 Hyd,9,15.6,-9,8,09h19m53.0644s,-09d33m21.1407s,-8,2643.0,5,G5,0.037,-0.016,0.0,0.022,7;28,12.2,34
1831,31 UMa,9,49.2,50,18,09h55m31.8178s,+49d49m38.7689s,50,1698.0,5.3,A2,0.017,-0.006,0.008,0.02,6;24,12.6,32
1832,Lamda UMa,10,11.1,43,25,10h17m03.3048s,+42d55m05.9091s,43,2005.0,3.5,A2,0.17,-0.164,-0.144,0.029,6;24,11.6,42
1833,Lal 22585,11,55.6,-9,53,12h00m07.1322s,-10d26m24.4662s,-9,3413.0,5.6,G5,0.498,0.123,0.124,0.075,6;23,12.4,37
1834,Grb 2044,13,42.0,41,35,13h46m15.7979s,+41d04m58.8046s,41,2424.0,5.7,A3,0.125,-0.115,-0.107,0.009,7;27,12.4,35
1835,4 UMi,14,9.2,78,1,14h08m38.4773s,+77d32m43.7212s,78,478.0,5,K0,0.043,-0.031,-0.035,0.019,7;27,12.2,33
1836,32 Boot,14,36.9,12,5,14h40m49.4827s,+11d39m15.5225s,12,2729.0,5.6,G5,0.201,-0.159,-0.156,0.021,6;24,12.4,38
1837,Lal 27155,14,49.3,23,45,14h53m27.8133s,+23d20m29.377s,23,2751.0,8.5,K2,0.837,-0.837,-0.82,0.034,6;26,12.3,52
1838,Ross 52,14,49.5,23,58,14h53m27.4046s,+23d33m29.3567s,,,11.1,M5,0.751,-0.74,-0.71,0.112,7;26,12.8,48
1839,Lal 27951,15,14.4,26,8,15h18m18.273s,+25d46m05.8915s,26,2676.0,8.6,G0,0.152,-0.132,-0.135,0.006,7;31,12.5,58
1840,Lal 27958,15,14.7,26,4,15h18m18.4179s,+25d42m05.8995s,26,2677.0,8.1,G0,0.585,-0.571,-0.559,0.046,7;30,12.5,59
1841,Kappa Her,16,3.6,17,19,16h07m31.1335s,+17d02m57.8224s,17,2964.0,5.3,G5,0.041,-0.037,-0.034,-0.002,7;24,12.3,35
1842,16 Sco,16,6.7,-8,17,16h11m24.8679s,-08d32m35.6134s,-8,4180.0,5.5,A3,0.037,0.037,0.046,-0.012,6;21,12.2,38
1843,15 Dra,16,28.2,68,59,16h27m49.0518s,+68d45m55.9762s,69,850.0,5,B8p,0.041,-0.027,-0.024,0.004,5;20,12.3,37
1844,Lal 30999,16,53.8,62,16,16h54m04.6292s,+62d06m26.7946s,62,1520.0,7,G5,0.335,-0.33,-0.327,0.011,6;24,12.2,36
1845,Lal 31188,17,4.3,-10,24,17h09m31.4062s,-10d31m41.4612s,-10,4445.0,5.6,F5,0.124,0.059,0.057,0.013,6;21,13,37
1846,Lal 32762,17,49.6,11,9,17h53m41.091s,+11d07m44.3146s,11,3283.0,6.3,F5,0.192,-0.077,-0.068,0.007,5;21,12.5,33
1847,SZ Aql,18,59.6,1,9,19h04m04.6343s,+01d17m51.8357s,1,3877.0,Var,K2,0.029,-0.013,0.001,-0.008,5;20,12.9,41
1848,18 Aql,19,2.3,10,55,19h06m42.4419s,+11d04m15.5353s,10,3787.0,5.1,B8,0.032,-0.006,-0.004,0.012,6;25,12.4,34
1849,WB 19h16,19,3.8,21,32,19h07m16.5687s,+21d41m22.1249s,21,3672.0,6.2,F2,0.085,0.046,0.046,0.008,7;25,12.3,32
1850,Lal 35998,19,5.4,34,26,19h08m39.3723s,+34d35m36.3005s,34,3439.0,6.5,G5,0.197,0.049,0.053,0.023,7;27,12.3,40
1851,Lal 36513,19,16.1,37,9,19h19m31.5845s,+37d20m07.219s,37,3417.0,6.4,G5,0.202,-0.072,-0.066,0.039,6;22,12.3,32
1852,66 Dra,20,4.0,61,42,20h05m33.7919s,+61d59m18.3447s,61,1970.0,5.6,K0,0.14,0.12,0.117,0.037,5;19,12.4,37
1853,"Ci 20, 1206",20,21.4,9,8,20h25m49.6565s,+09d27m34.1345s,9,4529.0,8.5,F5,0.561,0.113,0.113,0.023,6;25,12.3,46
1854,5 Aqr,20,46.9,-5,53,20h51m17.2684s,-05d30m34.4722s,-6,5606.0,5.5,B8,0.005,-0.004,-0.001,-0.025,5;18,12.2,33
1855,WB 1454,20,59.1,2,36,21h04m02.7992s,+02d59m46.8628s,2,4295.0,8.1,F8,0.474,-0.294,-0.287,0.001,6;24,13,31
1856,Lal 42741,21,50.3,31,52,21h54m23.0181s,+32d20m20.8859s,31,4574.0,7.6,K0,0.33,0.204,0.2,0.033,6;22,12.2,43
1857,GC 30677,21,50.5,31,52,21h54m23.0181s,+32d20m20.8859s,31,4577.0,7.1,K5,0.015,-0.014,-0.009,-0.008,6;20,12.2,43
1858,Wolf 1143,21,50.8,32,10,21h54m22.499s,+32d38m20.8659s,,,10.8,G2,0.732,0.71,0.761,0.018,7;25,11.9,45
1859,Lal 43319,22,6.8,35,46,22h10m21.8517s,+36d15m30.7016s,35,4725.0,7.2,K0,0.24,0.034,0.025,0.048,6;20,12.4,33
1860,Lal 44318,22,34.4,43,48,22h38m21.1351s,+44d19m12.0001s,43,4260.0,6.9,G0,0.242,0.233,0.256,0.037,5;18,12.5,37
1861,Lal 45165,23,0.2,16,2,23h04m57.6803s,+16d34m21.7839s,15,4760.0,6.4,K0,0.271,-0.19,-0.206,0.019,6;23,12.2,38
1862,Iota Psc,23,34.8,5,5,23h39m06.1064s,+05d38m14.0986s,4,5035.0,4.3,F8,0.571,0.37,0.363,0.07,5;20,12.2,41
1863,30 Psc,23,56.8,-6,34,00h01m07.4792s,-06d00m35.4597s,-6,6345.0,4.7,Mb,0.058,0.048,0.041,-0.011,6;24,12.2,41
1864,39 Cet,1,11.5,-3,2,01h16m05.3481s,-02d30m17.7549s,-3,172.0,5.5,G0,0.123,-0.18,-0.112,0.013,7;29,12.1,35
1865,58 And,2,2.5,37,23,02h08m00.8221s,+37d51m33.7033s,37,486.0,4.8,A2,0.163,0.158,0.149,0.0,7;26,12.2,35
1866,Iota Cas,2,20.8,66,57,02h28m14.1635s,+67d24m01.1609s,66,213.0,4.6,A5p,0.021,-0.013,-0.017,0.018,11;47,12.1,42
1867,38 Ari,2,39.5,12,1,02h44m26.1706s,+12d26m25.8857s,11,377.0,5.2,A3,0.146,0.122,0.128,0.022,5;21,11.6,36
1868,21 Per,2,51.2,31,32,02h57m04.2904s,+31d56m13.8488s,31,509.0,5.2,A0p,0.032,0.001,0.002,-0.002,6;25,12.4,32
1869,GC 3674,2,58.0,56,19,03h05m31.3178s,+56d42m26.5281s,56,767.0,5.1,K0,0.077,-0.014,-0.016,0.003,5;24,12.1,36
1870,3 Cam,4,32.0,52,53,04h39m52.8377s,+53d04m58.8619s,52,865.0,5.3,K0,0.014,0.003,-0.018,-0.009,6;28,12.7,34
1871,2 Cam,4,32.0,53,17,04h39m55.2686s,+53d28m58.6969s,53,794.0,5.4,F0,0.106,0.052,0.032,0.013,7;30,12.5,33
1872,GC 5802,4,40.5,11,31,04h45m33.2968s,+11d42m02.7127s,11,646.0,5.4,A0,0.072,0.072,0.053,0.001,5;21,12.4,33
1873,4 Aur,4,52.5,37,44,04h58m46.9959s,+37d53m17.6368s,37,1005.0,5,A0,0.111,0.045,0.045,0.004,5;23,12.4,34
1874,66 Eri,5,1.8,-4,47,05h05m56.6973s,-04d38m50.5902s,-4,1004.0,5.2,B9,0.018,0.015,0.01,0.019,5;21,12.2,30
1875,106 Tau,5,1.9,20,17,05h06m55.4822s,+20d25m05.2543s,20,885.0,5.3,A3,0.058,-0.045,-0.05,0.003,5;21,12.2,34
1876,GC 7587,5,55.1,-3,5,06h00m00.1958s,-03d04m38.1698s,-3,1256.0,4.7,K0,0.071,0.009,0.012,0.016,5;24,12.3,37
1877,GC 8020,6,7.8,69,21,06h18m01.1868s,+69d19m10.6032s,69,371.0,4.7,A0,0.106,0.007,0.005,0.005,4;18,12.1,38
1878,45 Aur,6,13.6,53,30,06h21m07.3555s,+53d27m30.8828s,53,1008.0,5.4,F5,0.101,0.032,0.018,0.022,5;20,12.2,36
1879,A 5871,7,6.6,27,24,07h12m13.2998s,+27d14m04.6062s,27,1337.0,6.4,F5,0.108,0.015,0.019,0.027,5;23,12.1,34
1880,8 Cnc,7,59.5,13,24,08h04m34.5343s,+13d07m04.1734s,13,1831.0,5.1,A0,0.079,-0.034,-0.023,0.018,5;22,12.1,34
1881,3 UMa,8,30.3,65,22,08h38m53.3129s,+65d01m09.0158s,65,643.0,5.7,G0,0.088,-0.024,-0.021,0.062,5;21,12.2,44
1882,69 Cnc,8,56.9,25,51,09h01m52.9809s,+25d27m29.0868s,25,2029.0,5.4,A0,0.009,-0.001,-0.001,-0.001,5;23,12.2,34
1883,5 Leo,9,26.6,11,45,09h31m24.1054s,+11d18m36.5845s,11,2053.0,5.1,G5,0.129,-0.094,-0.091,0.025,8;33,12.1,33
1884,38 UMa,10,35.1,66,14,10h41m51.8366s,+65d42m41.0232s,66,678.0,5.1,K0,0.18,-0.164,-0.145,0.02,6;22,12.3,32
1885,63 Leo,19,59.9,8,53,20h03m49.0723s,+09d09m52.9682s,8,2455.0,4.7,F0,0.344,-0.34,-0.329,0.03,7;27,11.5,32
1886,93 Leo,11,42.8,21,46,11h47m10.9211s,+21d12m39.948s,21,2358.0,4.5,F8,0.15,-0.15,-0.129,0.012,7;27,12.2,37
1887,74 UMa,12,25.3,59,57,12h29m40.2009s,+59d23m49.6632s,59,1444.0,5.4,A5,0.106,-0.064,-0.058,0.034,6;22,12.4,33
1888,GC 17430,12,45.4,38,4,12h49m46.1104s,+37d31m18.1159s,38,2373.0,5.9,A2,0.099,-0.097,-0.087,-0.004,7;25,12.1,32
1889,9 Boo,13,52.0,28,59,13h56m32.3428s,+28d29m39.4731s,28,2278.0,5.2,K0,0.06,0.025,0.045,0.006,5;21,12.8,34
1890,Delta Lib,14,55.6,-7,7,15h00m19.3942s,-07d30m51.8306s,-7,3938.0,4.8,A0,0.066,-0.065,-0.058,0.009,7;26,12.2,43
1891,GC 20352,15,3.0,9,16,15h07m51.9404s,+08d52m56.5542s,9,3001.0,8.7,G0,0.514,-0.511,-0.521,0.025,6;20,12.9,35
1892,GC 20737,15,22.2,61,54,15h23m55.0197s,+61d32m51.3906s,61,1501.0,7.4,G5,0.398,0.359,-0.349,0.01,4;17,12.4,42
1893,R CrB,15,44.5,28,28,15h48m07.3388s,+28d09m34.054s,28,2477.0,5.8,G0p,0.023,-0.005,-0.001,0.001,6;24,11.4,37
1894,GC 21599,15,59.9,25,31,16h03m12.3325s,+25d14m26.0862s,25,3020.0,7.1,G0,0.851,-0.528,-0.538,0.056,7;28,12.2,45
1895,23 Oph,16,49.2,-5,59,16h54m20.9603s,-06d08m48.7864s,-5,4374.0,5.4,K0,0.045,-0.039,-0.031,0.024,5;20,12.5,35
1896,GC 22802,16,50.6,21,7,16h54m18.2282s,+20d57m15.2041s,21,3002.0,5.5,K0,0.053,0.053,0.057,0.014,8;24,12.5,32
1897,GC 24409,17,52.2,18,38,17h56m22.3585s,+18d37m09.1768s,18,3502.0,6.7,K0,0.203,0.203,0.208,0.022,6;23,12.3,32
1898,GC 25010,18,14.6,-9,38,18h19m29.9612s,-09d35m33.6042s,-9,4692.0,7,G5,0.27,-0.102,-0.092,0.03,7;27,12.8,37
1899,A 11275,18,16.8,27,29,18h19m58.0174s,+27d31m37.157s,27,3003.0,7.1,G5,0.111,0.052,0.052,0.022,5;21,12.7,37
1900,GC 25208,18,23.2,-3,56,18h28m16.4459s,-03d52m16.2061s,-3,4288.0,8.4,G0,0.382,-0.201,-0.225,0.023,7;27,11.9,37
1901,GC 25481,18,33.1,-3,17,18h38m14.8615s,-03d11m49.6407s,-3,4331.0,6.5,F8,0.033,-0.013,-0.008,0.019,9;30,12.2,37
1902,TT Aql,19,3.2,1,9,19h08m04.6375s,+01d18m25.4862s,1,3899.0,9,G5,0.019,-0.015,-0.007,0.008,5;20,12.4,42
1903,GC 26374,19,4.2,16,42,19h08m28.7628s,+16d51m31.3669s,16,3758.0,6.5,F5,0.104,-0.032,-0.04,0.009,7;26,12.5,39
1904,GC 27677,19,54.7,30,43,19h57m57.5643s,+30d59m11.7123s,30,3837.0,5.4,B8,0.027,0.027,0.035,0.033,6;25,12.2,37
1905,14 Vul,19,54.9,22,50,19h58m17.8667s,+23d06m13.0048s,22,3872.0,5.7,F0,0.076,-0.076,-0.065,0.016,6;22,12.4,35
1906,62 Aql,19,59.2,0,59,20h04m05.1248s,+01d15m53.9775s,-1,3887.0,5.8,K0,0.118,-0.001,-0.006,-0.001,7;25,12.4,35
1907,Xi Cap,20,6.9,-12,55,20h11m33.0151s,-12d37m11.9662s,-13,5608.0,5.9,F5,0.272,0.192,0.193,0.033,6;23,12.1,40
1908,GC 28343,20,18.2,14,13,20h22m39.3554s,+14d32m12.1528s,14,4275.0,6.2,F5,0.071,0.071,0.077,0.028,4;19,12.2,56
1909,74 Dra,20,35.3,80,44,20h29m09.6835s,+81d04m35.075s,80,660.0,6.1,K0,0.232,0.069,0.073,0.013,7;24,12.5,37
1910,11 Aqr,20,55.3,-5,7,21h00m15.6082s,-04d43m37.2599s,-5,5433.0,6.3,G0,0.136,0.045,0.035,0.033,6;23,12.4,36
1911,GC 29626,21,7.6,45,3,21h10m35.7772s,+45d27m30.8372s,44,3728.0,8.1,K0,0.419,-0.284,-0.247,0.024,6;22,12.3,36
1912,19 Aqr,21,19.8,-10,10,21h24m22.327s,-09d44m14.9461s,-10,5668.0,5.8,A2,0.17,0.019,0.001,0.004,6;24,12.2,38
1913,GC 30433,21,39.7,14,19,21h43m47.6719s,+14d46m29.0518s,14,4668.0,6.1,G0,0.277,0.261,0.225,0.064,6;21,12.5,34
1914,GC 30655,21,49.0,-4,45,21h54m12.9933s,-04d16m41.8228s,-4,5568.0,5.9,K0,0.103,0.051,0.069,0.017,7;25,12.1,36
1915,HD 209621,21,59.7,20,34,22h03m42.2535s,+21d03m01.9147s,20,5071.0,8.8,R3,0.011,0.01,0.03,-0.021,5;20,12,38
1916,39 Peg,22,57.8,19,43,23h01m54.6969s,+20d15m15.0447s,19,4949.0,6.3,F0,0.158,0.155,0.166,0.011,5;17,12.2,36
1917,Ross 671,22,51.8,16,2,22h55m56.2014s,+16d34m00.7122s,15,4733.0,8.6,Ma,1.087,-1.05,-1.03,0.142,5;24,12.2,70
1918,A 16713,23,17.8,20,1,23h21m58.6991s,+20d33m53.3492s,19,5093.0,6.6,G0,0.311,0.311,0.32,0.011,6;21,12.1,37
1919,Beta Cas,0,3.8,58,36,00h08m12.8039s,+59d09m23.9793s,58,3.0,2.4,F5,0.556,0.527,0.516,0.059,5;20,12.6S,36W
1920,Wolf 1056*,0,33.5,30,4,00h38m19.5109s,+30d37m00.3566s,,,11.4,M4,1.74,1.68,1.557,77.0,6;26,12.2,55C
1921,Delta And,0,34.0,30,19,00h39m19.9742s,+30d51m58.9767s,30,91.0,3.5,K2,0.161,0.133,0.106,0.012,7;28,12.2,51C
1922,Gamma Cas*,0,50.7,60,11,00h56m01.4398s,+60d43m31.1917s,59,144.0,2.2,B0p,0.026,0.026,0.028,-0.005,7;29,11.6S,36C
1923,Epsilon Psc,0,57.8,7,21,01h02m11.9838s,+07d53m17.1735s,7,153.0,4.4,K0,0.087,0.082,-0.086,0.01,7;27,12.8,38C
1924,Mu Cass,1,1.6,54,26,01h06m59.4125s,+54d58m06.9359s,54,223.0,5.3,G5,3.762,3.416,3.416,0.122,5;25n,12.4,87C
1925,39 Ari,2,42.0,28,50,02h47m56.3088s,+29d15m07.2932s,28,462.0,4.6,K0,0.193,0.151,0.148,0.021,6;25,12.4,38C
1926,Beta Per,3,1.7,40,34,03h07m30.338s,+40d57m10.9027s,40,673.0,2.2,B8,0.006,0.006,0.0,0.039,6;23,10.2,28W
1927,Alpha Per,3,17.2,49,30,03h24m08.2625s,+49d51m24.705s,49,917.0,1.9,F5,0.035,0.025,0.019,0.001,4;23,12.5S,62C
1928,Epsilon Eri*,3,28.2,-9,48,03h32m49.3707s,-09d27m42.5572s,-9,697.0,3.8,K0,0.975,-0.975,-0.985,0.292,5;20,12.2,39W
1929,Alpha Tau,4,30.2,16,18,04h35m43.9187s,+16d30m23.8858s,16,629.0,1.1,K5,0.202,0.069,0.076,0.039,6;28,12.8S,62C
1930,Beta Ori*,5,9.7,-8,19,05h13m48.4253s,-08d11m58.141s,-8,1063.0,0.3,B8p,0.001,0.001,0.002,0.006,5;25,12.3S,48C
1931,Beta Tau,5,20.0,28,31,05h26m19.1949s,+28d36m20.8223s,28,795.0,1.8,B8,0.178,0.03,0.023,0.017,4;25,12.3S,50C
1932,Alpha Ori,5,49.8,7,23,05h54m24.7168s,+07d24m12.5077s,7,1055.0,0.8,Ma,0.028,0.027,0.027,-0.01,5;25,12.7S,33W
1933,Gamma Gem,6,31.9,16,29,06h36m46.3962s,+16d24m04.6608s,16,1223.0,1.9,A0,0.066,0.047,0.044,0.041,4;23n,12.1S,55C
1934,Beta Cmi*,7,21.7,8,29,07h26m25.7833s,+08d17m03.9263s,8,1774.0,3.1,B8,0.065,-0.05,-0.051,0.015,6;29,12.4S,48C
1935,Alpha Gem A,7,28.2,32,6,07h34m24.3451s,+31d53m03.1426s,32,1581.0,2,A0,0.198,-0.165,-0.225,0.071,5;24,9.6,32W
1936,Alpha Gem B,7,28.2,32,6,07h34m24.3451s,+31d53m03.1426s,32,1581.0,2.8,A1,,,-0.138,0.075,5;23,9.6,31W
1937,Alpha Gem C,7,28.2,32,5,07h34m24.2953s,+31d52m03.1459s,32,1582.0,8.8,K6,0.222,-0.193,-0.215,0.074,4;19,9.6,32W
1938,Beta Gem,7,39.2,28,16,07h45m11.9055s,+28d01m36.1954s,28,1463.0,1.2,K0,0.625,-0.623,-0.632,0.083,5;22,12.6S,35W
1939,Beta Cnc,8,11.1,9,30,08h16m25.7441s,+09d11m35.6568s,9,1917.0,3.8,K2,0.069,-0.046,-0.039,-0.004,5;24,12.2,46C
1940,Alpha Hyd*,9,22.7,-8,14,09h26m54.9238s,-08d40m00.3859s,-8,2680.0,2.2,K2,0.034,-0.015,-0.008,0.005,6;26,11.3,31W
1941,Zeta UMa B,13,19.9,55,27,13h23m00.8549s,+54d55m39.3427s,55,1598.0,4,A2,0.123,0.118,0.123,0.034,6;25,12.1,36W
1942,Eta Uma*,13,43.6,49,49,13h46m58.0257s,+49d19m02.0848s,50,2027.0,1.9,B3,0.123,-0.122,-0.105,0.034,7;28,12.1S,49C
1943,Alpha CrB,15,30.5,27,3,15h34m13.2608s,+26d42m54.395s,27,2512.0,2.3,A0,0.154,0.119,0.119,0.026,6;24,11.5S,34W
1944,Chi Her,15,49.2,42,44,15h52m23.5997s,+42d26m08.0891s,42,2648.0,4.6,G0,0.766,0.437,0.452,0.053,5;21,12.2,30D
1945,Gamma Ser,15,51.8,15,59,15h55m35.1247s,+15d41m27.3521s,16,2849.0,3.9,F5,1.328,0.307,0.309,0.079,6;27,12.1,73C
1946,Zeta Her,16,37.5,31,47,16h40m50.0006s,+31d35m25.51s,31,2884.0,3,G0,0.608,-0.47,-0.53,0.086,4;17,12.2S,36W
1947,19 Dra,16,55.5,65,17,16h55m29.5536s,+65d07m41.1173s,65,1157.0,4.8,F5,0.241,0.237,0.249,0.057,6;23,12.2,45C
1948,Delta Her,17,10.9,24,57,17h14m06.7274s,+24d50m03.7214s,25,3221.0,3.2,A2,0.164,-0.024,-0.014,0.038,5;22,12.4S,35W
1949,Alpha Oph,17,30.3,12,38,17h34m37.7332s,+12d33m58.4529s,12,3252.0,2.1,A5,0.26,0.117,0.12,0.071,6;22,12.7S,33W
1950,Omega Dra,17,37.5,68,48,17h36m25.1123s,+68d44m36.6395s,68,949.0,4.9,F5,0.322,0.003,0.008,0.04,7;26,12.3,36C
